0.0500	0.9497	0.9524
0.0594	0.9581	0.9602
0.0688	0.9664	0.9680
0.0782	0.9743	0.9757
0.0876	0.9808	0.9819
0.0970	0.9855	0.9864
0.1064	0.9885	0.9893
0.1158	0.9908	0.9914
0.1252	0.9924	0.9931
0.1346	0.9911	0.9916
0.1440	0.9936	0.9941
0.1534	0.9941	0.9947
0.1628	0.9943	0.9949
0.1722	0.9943	0.9948
0.1816	0.9947	0.9952
0.1910	0.9943	0.9949
0.2004	0.9950	0.9955
0.2098	0.9953	0.9958
0.2192	0.9961	0.9965
0.2286	0.9961	0.9967
0.2380	0.9965	0.9970
0.2474	0.9967	0.9972
0.2568	0.9970	0.9974
0.2662	0.9973	0.9978
0.2756	0.9976	0.9982
0.2850	0.9983	0.9989
0.2944	0.9981	0.9987
0.3038	0.9981	0.9988
0.3132	0.9981	0.9987
0.3226	0.9977	0.9984
0.3320	0.9980	0.9985
0.3414	0.9975	0.9984
0.3508	0.9982	0.9989
0.3602	0.9981	0.9987
0.3696	0.9975	0.9983
0.3790	0.9975	0.9984
0.3884	0.9976	0.9984
0.3978	0.9965	0.9972
0.4072	0.9971	0.9979
0.4166	0.9957	0.9965
0.4260	0.9964	0.9973
0.4354	0.9954	0.9964
0.4448	0.9957	0.9967
0.4542	0.9954	0.9963
0.4636	0.9947	0.9958
0.4730	0.9937	0.9947
0.4824	0.9943	0.9953
0.4918	0.9944	0.9953
0.5012	0.9935	0.9939
0.5106	0.9929	0.9937
0.5200	0.9925	0.9936
0.5294	0.9919	0.9931
0.5388	0.9914	0.9925
0.5482	0.9910	0.9922
0.5576	0.9902	0.9914
0.5670	0.9897	0.9910
0.5764	0.9890	0.9903
0.5858	0.9877	0.9889
0.5952	0.9879	0.9892
0.6046	0.9879	0.9892
0.6140	0.9871	0.9882
0.6234	0.9865	0.9877
0.6328	0.9853	0.9867
0.6422	0.9836	0.9850
0.6516	0.9825	0.9840
0.6610	0.9806	0.9821
0.6704	0.9800	0.9816
0.6798	0.9784	0.9800
0.6892	0.9767	0.9784
0.6986	0.9749	0.9766
0.7080	0.9728	0.9745
0.7174	0.9702	0.9723
0.7268	0.9677	0.9697
0.7362	0.9649	0.9671
0.7456	0.9617	0.9640
0.7550	0.9577	0.9602
0.7644	0.9528	0.9555
0.7738	0.9489	0.9518
0.7832	0.9440	0.9472
0.7926	0.9396	0.9432
0.8020	0.9322	0.9361
0.8114	0.9251	0.9295
0.8208	0.9169	0.9218
0.8302	0.9078	0.9132
0.8396	0.8972	0.9035
0.8490	0.8854	0.8925
0.8584	0.8716	0.8796
0.8678	0.8558	0.8654
0.8772	0.8383	0.8493
0.8866	0.8189	0.8316
0.8960	0.7983	0.8128
0.9054	0.7756	0.7923
0.9148	0.7497	0.7689
0.9242	0.7194	0.7416
0.9336	0.6819	0.7080
0.9430	0.6344	0.6657
0.9524	0.5709	0.6097
0.9618	0.4850	0.5351
0.9712	0.3735	0.4404
0.9806	0.2275	0.3210
0.9900	0.0674	0.2109
