0.7550	1.2556e-19	2.5700e-03	6.0096e-19	2.5700e-03
0.7644	6.6012e-20	2.3864e-03	3.3539e-19	2.3864e-03
0.7738	3.3629e-20	2.2094e-03	1.7877e-19	2.2094e-03
0.7832	1.6854e-20	2.0371e-03	9.1202e-20	2.0371e-03
0.7926	8.3967e-21	1.8686e-03	4.5395e-20	1.8686e-03
0.8020	4.0091e-21	1.7011e-03	2.1458e-20	1.7011e-03
0.8114	1.9446e-21	1.5308e-03	1.0220e-20	1.5308e-03
0.8208	9.1671e-22	1.3552e-03	4.7226e-21	1.3552e-03
0.8302	4.2775e-22	1.1749e-03	2.1553e-21	1.1749e-03
0.8396	1.9750e-22	9.9404e-04	9.6798e-22	9.9404e-04
0.8490	9.1450e-23	8.1887e-04	4.3102e-22	8.1887e-04
0.8584	4.3069e-23	6.5555e-04	1.9245e-22	6.5555e-04
0.8678	2.0229e-23	5.0834e-04	8.4188e-23	5.0834e-04
0.8772	9.9002e-24	3.7937e-04	3.8722e-23	3.7937e-04
0.8866	4.9701e-24	2.6965e-04	1.7909e-23	2.6965e-04
0.8960	2.5629e-24	1.7993e-04	8.7257e-24	1.7993e-04
0.9054	1.3833e-24	1.1086e-04	4.5270e-24	1.1086e-04
0.9148	7.5521e-25	6.2045e-05	2.4100e-24	6.2045e-05
0.9242	4.1580e-25	3.1066e-05	1.3058e-24	3.1066e-05
0.9336	2.2652e-25	1.3778e-05	7.0494e-25	1.3778e-05
0.9430	1.2143e-25	5.4411e-06	3.7612e-25	5.4411e-06
0.9524	6.1783e-26	1.9788e-06	1.9094e-25	1.9788e-06
0.9618	2.9109e-26	7.3860e-07	8.9852e-26	7.3860e-07
0.9712	1.1576e-26	3.1481e-07	3.5697e-26	3.1481e-07
0.9806	3.4691e-27	1.2805e-07	1.0685e-26	1.2805e-07
0.9900	4.9773e-28	2.6673e-08	1.5326e-27	2.6673e-08
