0.0500	9.5386e-02	9.6547e-02	9.5443e-02	9.6547e-02
0.0594	1.0313e-01	1.0415e-01	1.0317e-01	1.0415e-01
0.0688	1.1192e-01	1.1233e-01	1.1194e-01	1.1233e-01
0.0782	1.2069e-01	1.2151e-01	1.2070e-01	1.2151e-01
0.0876	1.2788e-01	1.2910e-01	1.2789e-01	1.2910e-01
0.0970	1.3190e-01	1.3307e-01	1.3191e-01	1.3307e-01
0.1064	1.3183e-01	1.3331e-01	1.3183e-01	1.3331e-01
0.1158	1.2933e-01	1.3101e-01	1.2933e-01	1.3101e-01
0.1252	1.2492e-01	1.2702e-01	1.2492e-01	1.2702e-01
0.1346	1.2025e-01	1.2218e-01	1.2025e-01	1.2218e-01
0.1440	1.1489e-01	1.1688e-01	1.1490e-01	1.1688e-01
0.1534	1.0951e-01	1.1150e-01	1.0952e-01	1.1150e-01
0.1628	1.0415e-01	1.0610e-01	1.0415e-01	1.0610e-01
0.1722	9.8645e-02	1.0082e-01	9.8651e-02	1.0082e-01
0.1816	9.3930e-02	9.5784e-02	9.3934e-02	9.5784e-02
0.1910	8.9065e-02	9.0921e-02	8.9068e-02	9.0921e-02
0.2004	8.4445e-02	8.6239e-02	8.4448e-02	8.6239e-02
0.2098	8.0035e-02	8.1781e-02	8.0038e-02	8.1781e-02
0.2192	7.5238e-02	7.7522e-02	7.5241e-02	7.7522e-02
0.2286	7.1856e-02	7.3481e-02	7.1859e-02	7.3481e-02
0.2380	6.8072e-02	6.9680e-02	6.8074e-02	6.9680e-02
0.2474	6.4559e-02	6.6073e-02	6.4561e-02	6.6073e-02
0.2568	6.1163e-02	6.2643e-02	6.1165e-02	6.2643e-02
0.2662	5.7977e-02	5.9402e-02	5.7980e-02	5.9402e-02
0.2756	5.4946e-02	5.6325e-02	5.4948e-02	5.6325e-02
0.2850	5.2019e-02	5.3377e-02	5.2022e-02	5.3377e-02
0.2944	4.9059e-02	5.0580e-02	4.9062e-02	5.0580e-02
0.3038	4.6651e-02	4.7897e-02	4.6654e-02	4.7897e-02
0.3132	4.4106e-02	4.5329e-02	4.4109e-02	4.5329e-02
0.3226	4.1619e-02	4.2874e-02	4.1618e-02	4.2874e-02
0.3320	3.9376e-02	4.0530e-02	3.9378e-02	4.0530e-02
0.3414	3.7171e-02	3.8284e-02	3.7174e-02	3.8284e-02
0.3508	3.4959e-02	3.6143e-02	3.4961e-02	3.6143e-02
0.3602	3.3071e-02	3.4110e-02	3.3074e-02	3.4110e-02
0.3696	3.1177e-02	3.2178e-02	3.1179e-02	3.2178e-02
0.3790	2.9388e-02	3.0350e-02	2.9391e-02	3.0350e-02
0.3884	2.7700e-02	2.8623e-02	2.7702e-02	2.8623e-02
0.3978	2.6109e-02	2.6994e-02	2.6111e-02	2.6994e-02
0.4072	2.4608e-02	2.5458e-02	2.4610e-02	2.5458e-02
0.4166	2.3193e-02	2.4008e-02	2.3195e-02	2.4008e-02
0.4260	2.2029e-02	2.2639e-02	2.2031e-02	2.2639e-02
0.4354	2.0592e-02	2.1342e-02	2.0594e-02	2.1342e-02
0.4448	1.9391e-02	2.0114e-02	1.9393e-02	2.0114e-02
0.4542	1.8260e-02	1.8933e-02	1.8262e-02	1.8933e-02
0.4636	1.7058e-02	1.7854e-02	1.7059e-02	1.7854e-02
0.4730	1.6180e-02	1.6817e-02	1.6182e-02	1.6817e-02
0.4824	1.5232e-02	1.5838e-02	1.5234e-02	1.5838e-02
0.4918	1.4334e-02	1.4915e-02	1.4336e-02	1.4915e-02
0.5012	1.3497e-02	1.4045e-02	1.3498e-02	1.4045e-02
0.5106	1.2698e-02	1.3226e-02	1.2699e-02	1.3226e-02
0.5200	1.1950e-02	1.2455e-02	1.1952e-02	1.2455e-02
0.5294	1.1244e-02	1.1725e-02	1.1246e-02	1.1725e-02
0.5388	1.0578e-02	1.1041e-02	1.0579e-02	1.1041e-02
0.5482	9.9488e-03	1.0392e-02	9.9501e-03	1.0392e-02
0.5576	9.3577e-03	9.7783e-03	9.3589e-03	9.7783e-03
0.5670	8.7976e-03	9.2001e-03	8.7988e-03	9.2001e-03
0.5764	8.2724e-03	8.6562e-03	8.2736e-03	8.6562e-03
0.5858	7.7802e-03	8.1436e-03	7.7588e-03	8.1436e-03
0.5952	7.2860e-03	7.6630e-03	7.2871e-03	7.6630e-03
0.6046	6.8776e-03	7.2097e-03	6.8787e-03	7.2097e-03
0.6140	6.4637e-03	6.7821e-03	6.4647e-03	6.7821e-03
0.6234	6.0762e-03	6.3788e-03	6.0771e-03	6.3788e-03
0.6328	5.7101e-03	5.9983e-03	5.7110e-03	5.9983e-03
0.6422	5.3623e-03	5.6389e-03	5.3632e-03	5.6389e-03
0.6516	5.0345e-03	5.2986e-03	5.0353e-03	5.2986e-03
0.6610	4.7225e-03	4.9761e-03	4.7233e-03	4.9761e-03
0.6704	4.4264e-03	4.6699e-03	4.4272e-03	4.6699e-03
0.6798	4.1451e-03	4.3788e-03	4.1458e-03	4.3788e-03
0.6892	3.8753e-03	4.1016e-03	3.8761e-03	4.1016e-03
0.6986	3.6210e-03	3.8374e-03	3.6217e-03	3.8374e-03
0.7080	3.3772e-03	3.5849e-03	3.3779e-03	3.5849e-03
0.7174	3.1409e-03	3.3430e-03	3.1740e-03	3.3430e-03
0.7268	2.9146e-03	3.1097e-03	2.9152e-03	3.1097e-03
0.7362	2.6972e-03	2.8871e-03	2.6979e-03	2.8871e-03
0.7456	2.4870e-03	2.6713e-03	2.4876e-03	2.6713e-03
0.7550	2.2844e-03	2.4628e-03	2.2851e-03	2.4628e-03
0.7644	2.0809e-03	2.2610e-03	2.0815e-03	2.2610e-03
0.7738	1.8983e-03	2.0670e-03	1.8989e-03	2.0670e-03
0.7832	1.7125e-03	1.8785e-03	1.7131e-03	1.8785e-03
0.7926	1.5314e-03	1.6948e-03	1.5321e-03	1.6948e-03
0.8020	1.3469e-03	1.5144e-03	1.3476e-03	1.5144e-03
0.8114	1.1741e-03	1.3353e-03	1.1749e-03	1.3353e-03
0.8208	1.0001e-03	1.1575e-03	1.0009e-03	1.1575e-03
0.8302	8.3161e-04	9.8254e-04	8.3243e-04	9.8254e-04
0.8396	6.7473e-04	8.1422e-04	6.7552e-04	8.1422e-04
0.8490	5.3149e-04	6.5702e-04	5.3223e-04	6.5702e-04
0.8584	4.0524e-04	5.1481e-04	4.0592e-04	5.1481e-04
0.8678	2.9715e-04	3.8997e-04	2.9774e-04	3.8997e-04
0.8772	2.0800e-04	2.8355e-04	2.0849e-04	2.8355e-04
0.8866	1.3728e-04	1.9581e-04	1.3766e-04	1.9581e-04
0.8960	8.4397e-05	1.2670e-04	8.4686e-05	1.2670e-04
0.9054	4.7659e-05	7.5643e-05	4.7856e-05	7.5643e-05
0.9148	2.4458e-05	4.1055e-05	2.4579e-05	4.1055e-05
0.9242	1.1305e-05	1.9991e-05	1.1369e-05	1.9991e-05
0.9336	4.6423e-06	8.6616e-06	4.6720e-06	8.6616e-06
0.9430	1.7206e-06	3.3663e-06	1.7322e-06	3.3663e-06
0.9524	5.4647e-07	1.2237e-06	5.5018e-07	1.2237e-06
0.9618	1.5714e-07	4.6379e-07	1.5811e-07	4.6379e-07
0.9712	3.5948e-08	1.9515e-07	3.6104e-08	1.9515e-07
0.9806	6.9131e-09	7.5192e-08	6.9291e-09	7.5192e-08
0.9900	9.1630e-10	1.5358e-08	9.1842e-10	1.5358e-08
